Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Software Engineer C++ on Linux - (Jr, Sr, principal, architect)",$85K ,$220K,"$152,500 /yr (est.)",,HireSparks AV Recruiting,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Audio Visual Technician,$30.00 /hr,$40.00,$35.00 /hr (est.),,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable
AV Engineer,$40.00 /hr,$60.00,$50.00 /hr (est.),4.0,"Insight Global
4.0","New York, NY",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD)
Audio Visual Design Engineer,$55K ,$104K,"$75,934 /yr (est.)",4.0,"PEC Solutions LLC
4.0","Plymouth, MN",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable
Professional Audio-Visual Systems Engineer,$47K ,$82K,"$62,446 /yr (est.)",3.4,"TRITECH
3.4","Garden City, NY",1 to 50 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
Audio Visual Engineer,$53K ,$111K,"$76,845 /yr (est.)",3.7,"New Era Technology
3.7","New York, NY",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
AV Systems Engineer,$67K ,$119K,"$89,035 /yr (est.)",4.4,"New Jersey Institute of Technology
4.4","Newark, NJ",1001 to 5000 Employees,1881,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Audio Visual Technician,$20.00 /hr,$50.00,$35.00 /hr (est.),,Corporate Audio Visual Labor,"New Orleans, LA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Systems Engineer- AV,$67K ,$130K,"$93,471 /yr (est.)",4.1,"NBCUniversal
4.1","New York, NY",5001 to 10000 Employees,,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$5 to $10 million (USD)
Audio/Visual Technician,$35K ,$68K,"$49,136 /yr (est.)",3.6,"Signet Electronic System Inc
3.6","Norwell, MA",51 to 200 Employees,1974,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio/Video Journey Technician in IT Customer Support,$65K /mo,$65K,"$64,752 /mo (est.)",3.8,"Central Washington University
3.8","Ellensburg, WA",Unknown,,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Entry-Level Engineering Cab (eCab) Systems & Integration Engineers,$84K ,$176K,"$121,623 /yr (est.)",3.8,"BOEING
3.8","Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
IT Support Manager II (OAV),$79K ,$151K,"$109,330 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Audio Visual Technician,$41K ,$82K,"$58,414 /yr (est.)",4.1,"McKinstry
4.1","Seattle, WA",1001 to 5000 Employees,1960,Company - Private,Construction,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD)
"Audio Visual Technician II, Resort Entertainment",$33K ,$62K,"$44,934 /yr (est.)",3.6,"Yaamava Resort & Casino at San Manuel
3.6","Highland, CA",1001 to 5000 Employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
IT Services Technician II,$52K ,$88K,"$67,558 /yr (est.)",4.0,"SpaceX
4.0","Redmond, WA",5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Information Technology (IT) Support Specialist,$36K ,$80K,"$54,090 /yr (est.)",3.0,"Whittle School & Studios
3.0","Washington, DC",51 to 200 Employees,2018,School / School District,Primary & Secondary Schools,Education,Unknown / Non-Applicable
AV/IT Support Engineer,$45K ,$97K,"$66,245 /yr (est.)",3.0,"Starz
3.0","Santa Monica, CA",501 to 1000 Employees,1994,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$1 to $2 billion (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Technician,$28.00 /hr,$43.00,$35.50 /hr (est.),3.7,"NWN Corporation
3.7","New York, NY",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
AV Service Engineer,$80K ,$85K,"$82,500 /yr (est.)",,Presentation Products Inc,"New York, NY",,,,,,
Lead Audio Visual Engineer,$74K ,$140K,"$101,570 /yr (est.)",4.1,"SAIC
4.1","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Senior Audio Visual Technician,$34.00 /hr,$48.00,$41.00 /hr (est.),,"Synapse Audio Visual Designs, LLC","Paramus, NJ",,,,,,
Audio Visual Technician,,,,2.9,"Howard Technology Solutions
2.9",United States,1 to 50 Employees,1968,Company - Private,Electronics Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Lead Audio Visual Field Technician,$35K ,$76K,"$51,724 /yr (est.)",3.4,"EOS
3.4","New York, NY",501 to 1000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AV Systems Engineer,$26.44 /hr,$64.27,$45.35 /hr (est.),4.0,"UCLA Health
4.0","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Information Technology Help Desk Support - Up to $95k,$85K ,$95K,"$90,000 /yr (est.)",,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable
AV Technician,$18.00 /hr,$35.00,$26.50 /hr (est.),4.1,"Mason Technologies Inc.
4.1",New York State,51 to 200 Employees,2002,Company - Private,Telecommunications Services,Telecommunications,$25 to $50 million (USD)
AV Engineer,,,,3.8,"DoorDash
3.8","San Francisco, CA",5001 to 10000 Employees,2013,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
"Software Engineer C++ on Linux - (Jr, Sr, principal, architect)",$85K ,$220K,"$152,500 /yr (est.)",,HireSparks AV Recruiting,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Audio Visual Technician,$30.00 /hr,$40.00,$35.00 /hr (est.),,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable
AV Engineer,$40.00 /hr,$60.00,$50.00 /hr (est.),4.0,"Insight Global
4.0","New York, NY",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD)
Audio Visual Field Engineer,$60K ,$100K,"$80,000 /yr (est.)",,Digital Labor Solutions,"New York, NY",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Design Engineer,$55K ,$104K,"$75,934 /yr (est.)",4.0,"PEC Solutions LLC
4.0","Plymouth, MN",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual Engineer,$53K ,$111K,"$76,845 /yr (est.)",3.7,"New Era Technology
3.7","New York, NY",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
AV Engineer,$63K ,$136K,"$92,745 /yr (est.)",3.2,"SS&C Technologies
3.2","New York, NY",10000+ Employees,1986,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD)
"Technical Integration Project Lead, Experience Studio",,,,4.5,"Google
4.5","New York, NY",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Audio/Visual Technician,$35K ,$68K,"$49,136 /yr (est.)",3.6,"Signet Electronic System Inc
3.6","Norwell, MA",51 to 200 Employees,1974,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
AV Engineer,$86K ,$165K,"$119,014 /yr (est.)",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Audio/Video Journey Technician in IT Customer Support,$65K /mo,$65K,"$64,752 /mo (est.)",3.8,"Central Washington University
3.8","Ellensburg, WA",Unknown,,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Field Support Engineer,$66K ,$135K,"$94,159 /yr (est.)",3.5,"KINLY
3.5","New York, NY",1001 to 5000 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Audio Visual Support Technician,$75K ,$95K,"$85,000 /yr (est.)",3.5,"prosource.it
3.5","New York, NY",501 to 1000 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD)
Entry-Level Engineering Cab (eCab) Systems & Integration Engineers,$84K ,$176K,"$121,623 /yr (est.)",3.8,"BOEING
3.8","Seattle, WA",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Audio Visual Technician,$41K ,$82K,"$58,414 /yr (est.)",4.1,"McKinstry
4.1","Seattle, WA",1001 to 5000 Employees,1960,Company - Private,Construction,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD)
AV Engineer,$63K ,$141K,"$94,313 /yr (est.)",3.3,"Ricoh
3.3","New York, NY",10000+ Employees,1936,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Technical Architect - System Engineer,$93K ,$203K,"$137,580 /yr (est.)",4.4,"Federal Reserve Bank of New York
4.4","New York, NY",1001 to 5000 Employees,1913,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual System Design Engineer,$61K ,$100K,"$80,500 /yr (est.)",,CCS,"Denver, CO",,,,,,
Audio Visual Design Engineer,$85K ,$110K,"$97,500 /yr (est.)",4.3,"AV-Worx
4.3","West Palm Beach, FL",1 to 50 Employees,2014,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD)
(NY) Audio/Visual Design Engineer,$50K ,$98K,"$69,978 /yr (est.)",3.8,"A-V Services Inc.
3.8","New York, NY",201 to 500 Employees,1960,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio Visual Systems Engineer,,,,,Camera Corner / Connecting Point,"Green Bay, WI",,,,,,
Systems Engineer - Audio/Visual Integration,$63K ,$130K,"$90,706 /yr (est.)",2.9,"Bluum
2.9","New York, NY",501 to 1000 Employees,1946,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Audio Visual Design Engineer,$65K ,$90K,"$77,500 /yr (est.)",,Technology Providers Inc.,"Gilbert, AZ",,,,,,
Audio Visual Systems Engineer,,,,,ACP CreativIT dba Arlington Computer Products,"Buffalo Grove, IL",,,,,,
Audio Visual Technician,$28.00 /hr,$43.00,$35.50 /hr (est.),3.7,"NWN Corporation
3.7","New York, NY",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
Audio Visual Design Sales Engineer,$65K ,$85K,"$75,000 /yr (est.)",3.6,"Spectra Audio Design Group
3.6","New York, NY",1 to 50 Employees,,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD)
Audio Visual Field Engineer,$20.00 /hr,$40.00,$30.00 /hr (est.),,"Vistacom, Inc",Pennsylvania,,,,,,
"Pre-Sales Design Engineer, Audio Visual Remote",$56K ,$102K,"$75,493 /yr (est.)",3.6,"Johnson Controls
3.6","Roswell, GA",10000+ Employees,1885,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Audio Visual Sales Engineer,$70K ,$80K,"$75,000 /yr (est.)",,Vario,Remote,,,,,,
Audio Visual (AV) Technology Engineer (Project Manager),,,,3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Audio Engineer/Audio Visual Technician,,,,,RLC SOUND AND LIGHTING/ western suburbs Chicago,"Chicago, IL",,,,,,
Lead Audio Visual Field Technician,$35K ,$76K,"$51,724 /yr (est.)",3.4,"EOS
3.4","New York, NY",501 to 1000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,$35K ,$76K,"$51,913 /yr (est.)",3.3,"Quantum World Technologies Inc.
3.3","Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable
Information Technology Help Desk Support - Up to $95k,$85K ,$95K,"$90,000 /yr (est.)",,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable
Audio Visual Technician,$30.00 /hr,$40.00,$35.00 /hr (est.),,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable
AV Engineer,$40.00 /hr,$60.00,$50.00 /hr (est.),4.0,"Insight Global
4.0","New York, NY",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,$80K ,$100K,"$90,000 /yr (est.)",3.5,"State of Washington Legislative Support Services
3.5","Olympia, WA",10000+ Employees,1889,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD)
Audio Visual Engineer,$30.00 /hr,$37.00,$33.50 /hr (est.),4.0,"Infomatics Inc
4.0","Farmington Hills, MI",51 to 200 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
"Technical Integration Project Lead, Experience Studio",,,,4.5,"Google
4.5","New York, NY",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Senior Audio Visual Systems Engineer,$52K ,$96K,"$70,828 /yr (est.)",4.3,"POWER Engineers, Inc.
4.3","Boise, ID",1001 to 5000 Employees,1976,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
Sr. Network Technician-Audio Visual 1,$35K ,$67K,"$48,321 /yr (est.)",3.6,"Johns Hopkins Health System
3.6","Saint Petersburg, FL",1001 to 5000 Employees,1889,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Audio Engineer,$47K ,$93K,"$65,776 /yr (est.)",4.1,"Cato Institute
4.1","Washington, DC",51 to 200 Employees,1976,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $50 million (USD)
Audio Visual Engineer - Poly,$54K ,$122K,"$81,352 /yr (est.)",3.8,"American Water
3.8","Camden, NJ",5001 to 10000 Employees,1886,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD)
Audio Visual Engineer - Information Technology Consultant - Career,$60K /mo,$60K,"$60,000 /mo (est.)",4.2,"California State University
4.2","San Francisco, CA",10000+ Employees,1962,College / University,Colleges & Universities,Education,$10+ billion (USD)
Audio Visual Technician (Sr. Engineer),$56K ,$105K,"$76,944 /yr (est.)",3.9,"Edwards Lifesciences
3.9","Irvine, CA",10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,,,"$90,000 /yr (est.)",3.6,"LSS
3.6","Olympia, WA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Audio Visual System Design Engineer,$61K ,$100K,"$80,500 /yr (est.)",,CCS,"Denver, CO",,,,,,
Audio Visual Design Engineer,$85K ,$110K,"$97,500 /yr (est.)",4.3,"AV-Worx
4.3","West Palm Beach, FL",1 to 50 Employees,2014,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD)
(NY) Audio/Visual Design Engineer,$50K ,$98K,"$69,978 /yr (est.)",3.8,"A-V Services Inc.
3.8","New York, NY",201 to 500 Employees,1960,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio Visual Systems Engineer,,,,,Camera Corner / Connecting Point,"Green Bay, WI",,,,,,
Systems Engineer - Audio/Visual Integration,$63K ,$130K,"$90,706 /yr (est.)",2.9,"Bluum
2.9","New York, NY",501 to 1000 Employees,1946,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Audio Visual Design Engineer,$65K ,$90K,"$77,500 /yr (est.)",,Technology Providers Inc.,"Gilbert, AZ",,,,,,
Audio Visual Systems Engineer,,,,,ACP CreativIT dba Arlington Computer Products,"Buffalo Grove, IL",,,,,,
Audio Visual Design Engineer/Estimator,$85K ,$105K,"$95,000 /yr (est.)",3.2,"Network Cabling Services (NCS)
3.2","Dallas, TX",201 to 500 Employees,,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Lead Audio Visual Engineer,$74K ,$140K,"$101,570 /yr (est.)",4.1,"SAIC
4.1","Washington, DC",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD)
Audio Visual Technician,$28.00 /hr,$43.00,$35.50 /hr (est.),3.7,"NWN Corporation
3.7","New York, NY",1001 to 5000 Employees,1986,Company - Private,,,Unknown / Non-Applicable
Audio Visual Field Engineer,$20.00 /hr,$40.00,$30.00 /hr (est.),,"Vistacom, Inc",Pennsylvania,,,,,,
Audio Visual Design Sales Engineer,$65K ,$85K,"$75,000 /yr (est.)",3.6,"Spectra Audio Design Group
3.6","New York, NY",1 to 50 Employees,,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD)
"Pre-Sales Design Engineer, Audio Visual Remote",$56K ,$102K,"$75,493 /yr (est.)",3.6,"Johnson Controls
3.6","Roswell, GA",10000+ Employees,1885,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Audio Visual Sales Engineer,$70K ,$80K,"$75,000 /yr (est.)",,Vario,Remote,,,,,,
Audio Visual (AV) Technology Engineer (Project Manager),,,,3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Sr. Audio-Visual Engineer,$120K ,$120K,"$120,000 /yr (est.)",4.2,"The Mom Project
4.2","New York, NY",51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
